team_code,team,team_logo
CSK,Chennai Super Kings,https://documents.iplt20.com/ipl/CSK/logos/Logooutline/CSKoutline.png
DC,Delhi Capitals,https://documents.iplt20.com/ipl/DC/Logos/LogoOutline/DCoutline.png
GT,Gujarat Titans,https://documents.iplt20.com/ipl/GT/Logos/Logooutline/GToutline.png
KKR,Kolkata Knight Riders,https://documents.iplt20.com/ipl/KKR/Logos/Logooutline/KKRoutline.png
LSG,Lucknow Super Giants,https://documents.iplt20.com/ipl/LSG/Logos/Logooutline/LSGoutline.png
MI,Mumbai Indians,https://documents.iplt20.com/ipl/MI/Logos/Logooutline/MIoutline.png
PBKS,Punjab Kings,https://documents.iplt20.com/ipl/PBKS/Logos/Logooutline/PBKSoutline.png
RR,Rajasthan Royals,https://documents.iplt20.com/ipl/RR/Logos/Logooutline/RRoutline.png
RCB,Royal Challengers Bengaluru,https://documents.iplt20.com/ipl/RCB/Logos/Logooutline/RCBoutline.png
SRH,Sunrisers Hyderabad,https://documents.iplt20.com/ipl/SRH/Logos/Logooutline/SRHoutline.png
